time_s,mean_thrust_N,std_thrust_N,ci95_lower_N,ci95_upper_N
0.676,4134.37693416836,272.1022942360981,3934.37693416836,4334.37693416836
0.678,4131.893527073079,275.1545181895059,3931.893527073079,4331.893527073079
0.68,4117.838307458635,260.9645571699899,3917.8383074586354,4317.838307458635
0.682,4108.798403912831,251.191239111848,3908.7984039128314,4308.798403912831
0.684,4115.218156925462,235.08706806161328,3915.2181569254617,4315.218156925462
0.686,4117.415728248812,237.0977237148774,3917.4157282488122,4317.415728248812
0.6880000000000001,4115.883801506586,248.99251622470706,3915.8838015065858,4315.883801506586
0.6900000000000001,4125.793793485797,257.00576381250374,3925.7937934857973,4325.793793485797
0.6920000000000001,4135.961367454493,272.40425961919397,3935.9613674544926,4335.961367454493
0.6940000000000001,4129.535446990863,280.2149322356738,3929.5354469908634,4329.535446990863
0.6960000000000001,4117.388830819771,279.66103587535076,3917.388830819771,4317.388830819771
0.6980000000000001,4100.746749208653,266.97269056722837,3900.7467492086525,4300.746749208653
0.7000000000000001,4096.89409082342,249.69023552377766,3896.89409082342,4296.89409082342
0.7020000000000001,4090.207517842604,233.99853478483203,3890.207517842604,4290.207517842604
0.704,4096.2641118396,219.247245123897,3896.2641118396004,4296.2641118396
0.706,4103.643888459583,226.05499028072106,3903.6438884595827,4303.643888459583
0.708,4106.84615367484,256.4377494882176,3906.84615367484,4306.84615367484
0.71,4103.754164437641,278.253672293065,3903.7541644376406,4303.754164437641
0.712,4098.780472641108,280.18417532352134,3898.7804726411077,4298.780472641108
0.714,4103.96988511469,276.75744740969054,3903.9698851146904,4303.96988511469
0.716,4106.294413198784,262.1002409729152,3906.2944131987842,4306.294413198784
0.718,4103.512787163854,246.60323316278902,3903.5127871638542,4303.512787163854
0.72,4096.135525594941,226.37814618794772,3896.135525594941,4296.135525594941
0.722,4087.936555348935,222.51409909135575,3887.936555348935,4287.936555348935
0.724,4078.4903125813134,216.66446847030318,3878.4903125813134,4278.490312581313
0.726,4072.5962502678235,219.03666102645883,3872.5962502678235,4272.596250267823
0.728,4070.861054961715,232.65905386076153,3870.861054961715,4270.861054961715
0.73,4078.036367834936,254.80156667432368,3878.036367834936,4278.036367834936
0.732,4090.800363592023,271.6761933404968,3890.800363592023,4290.800363592023
0.734,4093.14473947589,274.45132009993824,3893.14473947589,4293.144739475891
0.736,4092.788934239296,264.1460863682269,3892.788934239296,4292.7889342392955
0.738,4086.0448780715687,244.52968268487498,3886.0448780715687,4286.044878071569
